Respondent ID,Question ID,Category,Answer,Gender,Age Group,Persona Group,Occupation
resp001,purchase_likelihood,general,4,Female,25-34,Thrill Seekers,Professional
resp001,value_for_money,general,4,Female,25-34,Thrill Seekers,Professional
resp001,overall_appeal,general,5,Female,25-34,Thrill Seekers,Professional
resp001,prize_attractiveness,general,5,Female,25-34,Thrill Seekers,Professional
resp001,odds_fairness,general,4,Female,25-34,Thrill Seekers,Professional
resp001,uniqueness,general,4,Female,25-34,Thrill Seekers,Professional
resp001,bonus_features_appeal,general,5,Female,25-34,Thrill Seekers,Professional
resp002,purchase_likelihood,general,2,Male,55-64,Budget Conscious,Retired
resp002,value_for_money,general,2,Male,55-64,Budget Conscious,Retired
resp002,overall_appeal,general,3,Male,55-64,Budget Conscious,Retired
resp002,prize_attractiveness,general,3,Male,55-64,Budget Conscious,Retired
resp002,odds_fairness,general,2,Male,55-64,Budget Conscious,Retired
resp002,uniqueness,general,2,Male,55-64,Budget Conscious,Retired
resp002,bonus_features_appeal,general,3,Male,55-64,Budget Conscious,Retired
resp003,purchase_likelihood,general,4,Male,35-44,Casual Players,Manager
resp003,value_for_money,general,4,Male,35-44,Casual Players,Manager
resp003,overall_appeal,general,5,Male,35-44,Casual Players,Manager
resp003,prize_attractiveness,general,4,Male,35-44,Casual Players,Manager
resp003,odds_fairness,general,4,Male,35-44,Casual Players,Manager
resp003,uniqueness,general,4,Male,35-44,Casual Players,Manager
resp003,bonus_features_appeal,general,4,Male,35-44,Casual Players,Manager
resp004,purchase_likelihood,general,5,Female,18-24,Thrill Seekers,Student
resp004,value_for_money,general,4,Female,18-24,Thrill Seekers,Student
resp004,overall_appeal,general,6,Female,18-24,Thrill Seekers,Student
resp004,prize_attractiveness,general,5,Female,18-24,Thrill Seekers,Student
resp004,odds_fairness,general,4,Female,18-24,Thrill Seekers,Student
resp004,uniqueness,general,5,Female,18-24,Thrill Seekers,Student
resp004,bonus_features_appeal,general,5,Female,18-24,Thrill Seekers,Student
resp005,purchase_likelihood,general,1,Female,45-54,Budget Conscious,Administrative
resp005,value_for_money,general,1,Female,45-54,Budget Conscious,Administrative
resp005,overall_appeal,general,2,Female,45-54,Budget Conscious,Administrative
resp005,prize_attractiveness,general,2,Female,45-54,Budget Conscious,Administrative
resp005,odds_fairness,general,2,Female,45-54,Budget Conscious,Administrative
resp005,uniqueness,general,2,Female,45-54,Budget Conscious,Administrative
resp005,bonus_features_appeal,general,2,Female,45-54,Budget Conscious,Administrative
resp006,purchase_likelihood,general,3,Male,25-34,Casual Players,Technical
resp006,value_for_money,general,3,Male,25-34,Casual Players,Technical
resp006,overall_appeal,general,4,Male,25-34,Casual Players,Technical
resp006,prize_attractiveness,general,4,Male,25-34,Casual Players,Technical
resp006,odds_fairness,general,3,Male,25-34,Casual Players,Technical
resp006,uniqueness,general,3,Male,25-34,Casual Players,Technical
resp006,bonus_features_appeal,general,4,Male,25-34,Casual Players,Technical
resp007,purchase_likelihood,general,5,Female,35-44,Thrill Seekers,Manager
resp007,value_for_money,general,4,Female,35-44,Thrill Seekers,Manager
resp007,overall_appeal,general,6,Female,35-44,Thrill Seekers,Manager
resp007,prize_attractiveness,general,5,Female,35-44,Thrill Seekers,Manager
resp007,odds_fairness,general,5,Female,35-44,Thrill Seekers,Manager
resp007,uniqueness,general,5,Female,35-44,Thrill Seekers,Manager
resp007,bonus_features_appeal,general,5,Female,35-44,Thrill Seekers,Manager
resp008,purchase_likelihood,general,2,Male,65+,Budget Conscious,Retired
resp008,value_for_money,general,2,Male,65+,Budget Conscious,Retired
resp008,overall_appeal,general,2,Male,65+,Budget Conscious,Retired
resp008,prize_attractiveness,general,3,Male,65+,Budget Conscious,Retired
resp008,odds_fairness,general,2,Male,65+,Budget Conscious,Retired
resp008,uniqueness,general,2,Male,65+,Budget Conscious,Retired
resp008,bonus_features_appeal,general,2,Male,65+,Budget Conscious,Retired
resp009,purchase_likelihood,general,4,Female,25-34,Casual Players,Professional
resp009,value_for_money,general,3,Female,25-34,Casual Players,Professional
resp009,overall_appeal,general,5,Female,25-34,Casual Players,Professional
resp009,prize_attractiveness,general,4,Female,25-34,Casual Players,Professional
resp009,odds_fairness,general,4,Female,25-34,Casual Players,Professional
resp009,uniqueness,general,4,Female,25-34,Casual Players,Professional
resp009,bonus_features_appeal,general,4,Female,25-34,Casual Players,Professional
resp010,purchase_likelihood,general,3,Male,45-54,Casual Players,Service
resp010,value_for_money,general,3,Male,45-54,Casual Players,Service
resp010,overall_appeal,general,4,Male,45-54,Casual Players,Service
resp010,prize_attractiveness,general,3,Male,45-54,Casual Players,Service
resp010,odds_fairness,general,3,Male,45-54,Casual Players,Service
resp010,uniqueness,general,3,Male,45-54,Casual Players,Service
resp010,bonus_features_appeal,general,3,Male,45-54,Casual Players,Service
resp011,purchase_likelihood,general,5,Female,18-24,Thrill Seekers,Student
resp011,value_for_money,general,5,Female,18-24,Thrill Seekers,Student
resp011,overall_appeal,general,7,Female,18-24,Thrill Seekers,Student
resp011,prize_attractiveness,general,5,Female,18-24,Thrill Seekers,Student
resp011,odds_fairness,general,5,Female,18-24,Thrill Seekers,Student
resp011,uniqueness,general,5,Female,18-24,Thrill Seekers,Student
resp011,bonus_features_appeal,general,5,Female,18-24,Thrill Seekers,Student
resp012,purchase_likelihood,general,1,Male,55-64,Budget Conscious,Retired
resp012,value_for_money,general,1,Male,55-64,Budget Conscious,Retired
resp012,overall_appeal,general,1,Male,55-64,Budget Conscious,Retired
resp012,prize_attractiveness,general,2,Male,55-64,Budget Conscious,Retired
resp012,odds_fairness,general,1,Male,55-64,Budget Conscious,Retired
resp012,uniqueness,general,1,Male,55-64,Budget Conscious,Retired
resp012,bonus_features_appeal,general,2,Male,55-64,Budget Conscious,Retired
resp013,purchase_likelihood,general,4,Female,35-44,Casual Players,Manager
resp013,value_for_money,general,4,Female,35-44,Casual Players,Manager
resp013,overall_appeal,general,5,Female,35-44,Casual Players,Manager
resp013,prize_attractiveness,general,4,Female,35-44,Casual Players,Manager
resp013,odds_fairness,general,3,Female,35-44,Casual Players,Manager
resp013,uniqueness,general,4,Female,35-44,Casual Players,Manager
resp013,bonus_features_appeal,general,4,Female,35-44,Casual Players,Manager
resp014,purchase_likelihood,general,3,Male,25-34,Casual Players,Technical
resp014,value_for_money,general,3,Male,25-34,Casual Players,Technical
resp014,overall_appeal,general,4,Male,25-34,Casual Players,Technical
resp014,prize_attractiveness,general,3,Male,25-34,Casual Players,Technical
resp014,odds_fairness,general,3,Male,25-34,Casual Players,Technical
resp014,uniqueness,general,3,Male,25-34,Casual Players,Technical
resp014,bonus_features_appeal,general,3,Male,25-34,Casual Players,Technical
resp015,purchase_likelihood,general,5,Female,25-34,Thrill Seekers,Professional
resp015,value_for_money,general,4,Female,25-34,Thrill Seekers,Professional
resp015,overall_appeal,general,6,Female,25-34,Thrill Seekers,Professional
resp015,prize_attractiveness,general,5,Female,25-34,Thrill Seekers,Professional
resp015,odds_fairness,general,4,Female,25-34,Thrill Seekers,Professional
resp015,uniqueness,general,5,Female,25-34,Thrill Seekers,Professional
resp015,bonus_features_appeal,general,5,Female,25-34,Thrill Seekers,Professional
resp016,purchase_likelihood,general,2,Male,65+,Budget Conscious,Retired
resp016,value_for_money,general,2,Male,65+,Budget Conscious,Retired
resp016,overall_appeal,general,3,Male,65+,Budget Conscious,Retired
resp016,prize_attractiveness,general,2,Male,65+,Budget Conscious,Retired
resp016,odds_fairness,general,2,Male,65+,Budget Conscious,Retired
resp016,uniqueness,general,2,Male,65+,Budget Conscious,Retired
resp016,bonus_features_appeal,general,3,Male,65+,Budget Conscious,Retired
resp017,purchase_likelihood,general,4,Female,35-44,Casual Players,Manager
resp017,value_for_money,general,3,Female,35-44,Casual Players,Manager
resp017,overall_appeal,general,5,Female,35-44,Casual Players,Manager
resp017,prize_attractiveness,general,4,Female,35-44,Casual Players,Manager
